CIDm00028871	CIDs00028871	ATC	M01AB10
CIDm00028871	CIDs00028871	ATC	M02AA14
CIDm00002369	CIDs00002369	ATC	C07AB05
CIDm00002369	CIDs00002369	ATC	S01ED02
CIDm00002194	CIDs00002194	ATC	A16AX02
CIDm00042113	CIDs00042113	ATC	N01AB07
CIDm00017676	CIDs00017676	ATC	N05AB07
CIDm00031477	CIDs00031477	ATC	S01ED04
CIDm06918558	CIDs06918558	ATC	G04BD11
CIDm00464989	CIDs03001322	ATC	L01XC03
CIDm00002202	CIDs00002202	ATC	D05AC01
CIDm00041049	CIDs00041049	ATC	N02AX05
CIDm05462337	CIDs06003770	ATC	A07EC03
CIDm00006526	CIDs00006526	ATC	N05BC03
CIDm00048040	CIDs00048040	ATC	C01BC08
CIDm00028688	CIDs00028688	ATC	R01AA10
CIDm00001979	CIDs00001979	ATC	S01EB08
CIDm00025959	CIDs00025959	ATC	V03AB31
CIDm00001997	CIDs00068949	ATC	C01AA01
CIDm00132999	CIDs00132999	ATC	C01EB17
CIDm11625818	CIDs11625818	ATC	L01XX47
CIDm00004679	CIDs00004679	ATC	A02BC02
CIDm00021751	CIDs00021751	ATC	V08AD02
CIDm00004889	CIDs00054687	ATC	C10BA03
CIDm09912092	CIDs11561674	ATC	L04AA32
CIDm00071534	CIDs00071534	ATC	A03BB04
CIDm00004649	CIDs00004649	ATC	J04AA02
CIDm16683028	CIDs16683028	ATC	C10AB03
CIDm00062867	CIDs00062867	ATC	N05AC04
CIDm00002771	CIDs00002771	ATC	N06AB04
CIDm44564107	CIDs44564107	ATC	C10AX11
CIDm00004114	CIDs00004114	ATC	D05AD02
CIDm00004114	CIDs00004114	ATC	D05BA02
CIDm00003476	CIDs00003476	ATC	A10BB12
CIDm00003928	CIDs00064710	ATC	J01FF02
CIDm00014520	CIDs00014520	ATC	A05BA04
CIDm00004019	CIDs00068667	ATC	N04AA10
CIDm00034457	CIDs00034457	ATC	L01AA08
CIDm00002805	CIDs00002805	ATC	R05DB21
CIDm00002681	CIDs00002681	ATC	D08AJ02
CIDm00002681	CIDs00002681	ATC	R02AA17
CIDm16683103	CIDs16683103	ATC	S01AX05
CIDm00024470	CIDs00024470	ATC	D08AL01
CIDm00004915	CIDs00004915	ATC	L01XB01
CIDm00062984	CIDs03033887	ATC	A02BA07
CIDm00002816	CIDs00002816	ATC	N05BA22
CIDm00016473	CIDs00016473	ATC	C03BA12
CIDm16132139	CIDs16197727	ATC	D02BB02
CIDm00004195	CIDs00004195	ATC	C01CA17
CIDm00000499	CIDs00007405	ATC	A12CC08
CIDm00040589	CIDs00040589	ATC	N06AB09
CIDm00002016	CIDs00002016	ATC	R02AA13
CIDm00013916	CIDs00013916	ATC	D01AA07
CIDm00003607	CIDs00003607	ATC	A01AB12
CIDm00003607	CIDs00003607	ATC	G01AX16
CIDm00017557	CIDs00017557	ATC	P01AX09
CIDm51537605	CIDs51537605	ATC	J01AA09
CIDm00014190	CIDs00014190	ATC	N06BX02
CIDm00060814	CIDs00060814	ATC	N01AH06
CIDm00072141	CIDs00072141	ATC	D04AA12
CIDm00068925	CIDs03033988	ATC	D01AC13
CIDm00068925	CIDs03033988	ATC	G01AF16
CIDm00011290	CIDs00011290	ATC	R06AX04
CIDm00198099	CIDs70697655	ATC	C01BA12
CIDm00003950	CIDs00003950	ATC	L01AD02
CIDm00005902	CIDs00005902	ATC	A03AA03
CIDm00065825	CIDs00065825	ATC	C01BD06
